lat,lon,Total_Crimes,Total_Arrests,ASSAULT,BATTERY,BURGLARY,Damage,Trespass,HOMICIDE,MOTOR VEHICLE THEFT,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PUBLIC PEACE VIOLATION,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION,Summer,Winter,Spring
41.9932535,-87.78542662,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
41.99325413,-87.70921718,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
41.99326679,-87.71205693,4,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
41.99328159,-87.70922059,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41.99328246,-87.78402115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.99329345,-87.78402473,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
41.99330555,-87.71211909,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
41.99331549,-87.78404294,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41.99332363,-87.7043534,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
41.99334041,-87.78754107,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.99341381,-87.72516235,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
41.99352138,-87.76767134,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
41.99357066,-87.704362,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.99362066,-87.7437705,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
41.99365336,-87.75233769,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
41.99365867,-87.73943306,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
41.99370817,-87.79276893,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
41.99371493,-87.79071252,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.99371553,-87.72461873,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
41.9937269,-87.72159479,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
41.99372805,-87.74975094,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
41.99373078,-87.74223917,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41.99373182,-87.74833464,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41.99375772,-87.7181182,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
41.99383611,-87.74833736,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
41.99384443,-87.75648913,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.99384816,-87.71299668,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
41.99388868,-87.70480766,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
